event_id,event_type,customer_id,invoice_id,created_at,payload_size_kb,idempotency_key,priority
evt_186a032e9eac,invoice.validated,cus_acd5ca57,inv_9b7be32a,2026-04-15T15:37:04.978378Z,1717.88,idk_a757b3a6,normal
evt_1a1d5cd58294,invoice.validated,cus_43132853,inv_2b2328a4,2026-04-15T15:37:04.988343Z,1394.01,idk_f2cdc5f0,low
evt_e4b138a230cb,compliance.submitted,cus_a1ca23cc,,2026-04-15T15:37:05.013901Z,1985.19,idk_0299773e,normal
evt_7cb88db393f0,compliance.submitted,cus_cfedd7dc,inv_c10567dd,2026-04-15T16:37:04.785476Z,3185.65,idk_dba61a50,normal
evt_863f0ed75392,invoice.rejected,cus_086ce2c4,,2026-04-15T16:37:04.790607Z,2802.2,idk_17125754,high
evt_4b57dffe4882,compliance.failed,cus_d17473b1,inv_432016d3,2026-04-15T16:37:04.803573Z,3415.18,idk_00efa8d9,high
evt_83804691d804,compliance.submitted,cus_b237ecf5,,2026-04-15T16:37:04.839085Z,128.58,idk_00753ade,high
evt_98e706eee91a,invoice.validated,cus_05091141,inv_80eefae8,2026-04-15T16:37:04.845345Z,4303.69,idk_789dcb10,normal
evt_51bc90fa70e8,invoice.validated,cus_05b86f88,inv_c27a3e2c,2026-04-15T16:37:04.845716Z,3739.09,idk_084064de,high
evt_b3209ec1ee64,invoice.created,cus_701d4c45,inv_487927bf,2026-04-15T16:37:04.865195Z,4792.87,idk_a35539d6,normal
evt_8e26ca8619da,invoice.created,cus_f5cd8f3b,inv_8fbe3462,2026-04-15T16:37:04.956672Z,4676.58,idk_800eca0b,low
evt_d2abd1321c22,invoice.created,cus_8a7da285,,2026-04-15T16:37:04.960573Z,818.22,idk_63571cfe,high
evt_a87303626a1c,compliance.failed,cus_7ba1efa2,inv_ad538cff,2026-04-15T16:37:04.986049Z,4318.72,idk_c89548e8,high
evt_041d9d5b2e1c,invoice.paid,cus_e44e1d65,inv_3c652e25,2026-04-15T17:37:04.785852Z,3191.72,idk_e3d90cb5,high
evt_fbd25951f338,compliance.failed,cus_05b86f88,,2026-04-15T17:37:04.789845Z,2101.56,idk_8eb414b2,low
evt_9960dc8b082d,invoice.created,cus_cafb9a52,inv_5debd98c,2026-04-15T17:37:04.792063Z,4810.24,idk_b0aaf7e8,high
evt_dbebc0dc86cd,compliance.submitted,cus_02ced190,inv_3cfb2b22,2026-04-15T17:37:04.811199Z,4575.52,idk_2ed1c1b0,low
evt_3d94ff9e903c,compliance.submitted,cus_b237ecf5,inv_18e25ed3,2026-04-15T17:37:04.842267Z,528.52,idk_79248a9f,low
evt_d811ce4405e0,invoice.validated,cus_97373b5e,,2026-04-15T17:37:04.873268Z,2454.38,idk_cc37fe1c,normal
evt_6891fe0c09da,compliance.submitted,cus_aaf3ef61,inv_c7989548,2026-04-15T17:37:04.899313Z,3838.23,idk_89e932a2,low
evt_b887a9f620b1,invoice.rejected,cus_b8e6b380,inv_0ef3b024,2026-04-15T17:37:04.904545Z,1039.71,idk_602b1e1e,high
evt_4d5bd7f50309,invoice.rejected,cus_3b39dd7a,inv_047741c8,2026-04-15T17:37:04.924816Z,1105.57,idk_db2bb90e,low
evt_c4d28b8f0d0e,invoice.paid,cus_89a7cb68,,2026-04-15T17:37:04.994773Z,4092.63,idk_e444bcc5,high
evt_76f32c045977,invoice.paid,cus_fe077f3c,,2026-04-15T17:37:04.995691Z,4431.53,idk_7548f1d4,normal
evt_d9897ffb8279,compliance.failed,cus_10654226,inv_42a38b49,2026-04-15T18:37:04.817402Z,264.85,idk_714d636d,high
evt_4141aed968b5,invoice.rejected,cus_4f7d6cfe,inv_e05a793c,2026-04-15T18:37:04.865154Z,918.13,idk_960fa487,normal
evt_b0891b5c0790,invoice.created,cus_05091141,,2026-04-15T18:37:04.867597Z,1196.42,idk_c2ee28f2,normal
evt_de99de2a353d,invoice.created,cus_f570eeee,inv_5f699436,2026-04-15T18:37:04.886069Z,122.17,idk_f86580d5,low
evt_fdb7b5b20ecb,invoice.rejected,cus_946f7608,inv_7ba8dc58,2026-04-15T18:37:04.906518Z,1855.43,idk_294d4866,high
evt_dc5793471ce6,invoice.rejected,cus_4d2b4c47,inv_843876e6,2026-04-15T18:37:04.928098Z,3781.7,idk_dded08e7,low
evt_0404bb972aa1,invoice.paid,cus_bc0ff9d8,inv_5e1483b9,2026-04-15T18:37:04.931042Z,859.86,idk_e7e1e859,high
evt_e3465a7ee407,compliance.failed,cus_cfedd7dc,inv_d299850b,2026-04-15T18:37:04.937699Z,3006.23,idk_5ab5f521,normal
evt_e7cab3912c5a,compliance.submitted,cus_d17473b1,inv_e93623a6,2026-04-15T18:37:04.947988Z,1322.4,idk_137f62db,low
evt_73df5d361217,compliance.failed,cus_a0b3e16f,inv_ece300ac,2026-04-15T18:37:04.948999Z,1494.47,idk_71f25e5a,low
evt_7070ff1df9f4,invoice.paid,cus_d5d2b1d5,inv_00f0a9df,2026-04-15T18:37:04.961616Z,4166.46,idk_d22b3b0e,normal
evt_b99ef7d6fdfd,invoice.paid,cus_ff7cd56f,,2026-04-15T18:37:04.997926Z,1093.76,idk_936a4154,high
evt_7b04b7a33441,compliance.failed,cus_acd5ca57,inv_4f6a5233,2026-04-15T18:37:05.002165Z,4437.81,idk_f8e7c840,normal
evt_46730ae96e75,compliance.submitted,cus_4fc5acc5,,2026-04-15T18:37:05.011632Z,114.89,idk_ae922d26,normal
evt_354fea34851b,invoice.validated,cus_701d4c45,,2026-04-15T19:37:04.831595Z,1941.17,idk_b492beb3,low
evt_500a36322548,invoice.created,cus_e477ddc1,inv_cf1ab8ec,2026-04-15T19:37:04.863320Z,708.05,idk_73818f64,high
evt_90adc3b66e9e,compliance.submitted,cus_72467a92,inv_1281fd53,2026-04-15T19:37:04.872540Z,1184.17,idk_e6dcca1b,low
evt_b8adbca12f6f,invoice.rejected,cus_02ced190,inv_7eb7882b,2026-04-15T19:37:04.888279Z,1073.39,idk_3de9f438,normal
evt_1a97fbfadc8c,invoice.paid,cus_226e5df8,,2026-04-15T19:37:04.905423Z,1957.11,idk_5e3bbb88,normal
evt_e06ffa5eac94,invoice.created,cus_bec6b9a8,,2026-04-15T19:37:04.909486Z,1807.89,idk_428499e8,high
evt_d1fd43b5850e,invoice.validated,cus_a0b3e16f,inv_dff8052f,2026-04-15T19:37:04.915848Z,2790.17,idk_8634f701,high
evt_7c75eca32d6e,compliance.failed,cus_d3fe2b6b,,2026-04-15T19:37:04.920768Z,1838.67,idk_49111732,normal
evt_beceea8f87d3,invoice.created,cus_61126bec,inv_ace4a8d5,2026-04-15T19:37:04.964869Z,1662.12,idk_c6b453ce,normal
evt_824db4156f60,invoice.validated,cus_cfedd7dc,,2026-04-15T19:37:04.978240Z,4077.69,idk_f68ebbe2,low
evt_4c81466af93c,invoice.created,cus_f3e2ecda,inv_32174e3a,2026-04-15T19:37:04.985114Z,1720.33,idk_23fda6e8,normal
evt_736e8fb0edfa,invoice.validated,cus_97373b5e,inv_f6656a70,2026-04-15T19:37:04.991890Z,4214.77,idk_714a568f,high
evt_9dd96053d5a5,invoice.created,cus_c338d17d,,2026-04-15T20:37:04.811368Z,371.95,idk_e3b0dae3,high
evt_e7e69733f361,compliance.submitted,cus_cafb9a52,inv_1b77a260,2026-04-15T20:37:04.832804Z,4872.7,idk_bedb87dc,normal
evt_188a101538bc,invoice.validated,cus_cfcd3b7a,inv_8e304d61,2026-04-15T20:37:04.858304Z,1888.18,idk_ff534dca,low
evt_934ba0cd55a8,invoice.paid,cus_b2a70a33,inv_3bebb1b4,2026-04-15T20:37:04.898675Z,647.08,idk_dca7203d,low
evt_38099c415ff8,invoice.validated,cus_e5bce881,,2026-04-15T20:37:04.899748Z,3329.13,idk_3c9a13ba,normal
evt_6f7a6b2ec4be,compliance.failed,cus_c2f3b601,,2026-04-15T20:37:04.912247Z,4920.73,idk_8f0bd1ae,low
evt_efb88099ff30,compliance.failed,cus_97373b5e,,2026-04-15T20:37:04.919693Z,2242.19,idk_b48b7311,high
evt_23c5b64ef170,compliance.submitted,cus_aaf3ef61,inv_3df60668,2026-04-15T20:37:04.926741Z,3783.41,idk_fafc18f2,low
evt_d78b5e16459b,invoice.rejected,cus_f09eadbd,inv_81dd9645,2026-04-15T20:37:04.934131Z,4067.16,idk_c9c4efff,normal
evt_b21fc9811e53,compliance.submitted,cus_d5d2b1d5,inv_c1307d49,2026-04-15T20:37:04.941304Z,544.04,idk_98290125,high
evt_647919f61a6e,invoice.rejected,cus_b399d6ea,inv_1578b5d7,2026-04-15T20:37:04.966799Z,4180.98,idk_66a104d6,low
evt_5edf6577f529,invoice.paid,cus_deb17d12,inv_a723e290,2026-04-15T20:37:04.997983Z,2126.63,idk_ab1aaa4a,low
evt_b3fb90fc24e3,invoice.created,cus_e5bce881,inv_42da81f5,2026-04-15T21:37:04.820317Z,2097.48,idk_9b034f19,high
evt_6a9820a8f3dc,compliance.failed,cus_11dbfc3f,inv_b489d95e,2026-04-15T21:37:04.820881Z,517.71,idk_3da58901,normal
evt_78b8c6b7b236,invoice.validated,cus_deb17d12,inv_299b72df,2026-04-15T21:37:04.824682Z,458.35,idk_824faa34,low
evt_2077d7160aeb,invoice.paid,cus_05112f1a,inv_dc2204c1,2026-04-15T21:37:04.848074Z,1521.36,idk_00028590,low
evt_6728c66988a0,invoice.rejected,cus_4f7d6cfe,inv_b26e1c69,2026-04-15T21:37:04.849810Z,4732.17,idk_75bb301c,normal
evt_b6f86646af9a,invoice.created,cus_a10fb4ab,inv_3fcf8cf8,2026-04-15T21:37:04.866124Z,458.18,idk_f8ec304c,normal
evt_073e47045114,invoice.created,cus_a6d9cc67,inv_61e41e66,2026-04-15T21:37:04.868908Z,2757.8,idk_5446e8a9,normal
evt_8f40d00740c1,invoice.validated,cus_10654226,inv_e2be7281,2026-04-15T21:37:04.915768Z,440.88,idk_06210807,low
evt_c217b0ff3438,invoice.created,cus_72467a92,inv_cf0e53b6,2026-04-15T21:37:04.953976Z,4174.48,idk_e7809da6,normal
evt_ccd585d3f1b6,invoice.created,cus_ff7cd56f,inv_3c7dd383,2026-04-15T21:37:04.977191Z,3913.56,idk_d9cb4f02,normal
evt_97bef5160ecf,compliance.failed,cus_97373b5e,inv_3c1680ac,2026-04-15T21:37:04.984375Z,28.04,idk_f15c4053,high
evt_228b3eaadfd8,compliance.submitted,cus_4ea36b7d,,2026-04-15T22:37:04.804264Z,2694.83,idk_1cc366f1,high
evt_42b0dc4e94ff,invoice.validated,cus_7c410cd8,inv_ffc16ecd,2026-04-15T22:37:04.805500Z,3328.94,idk_10e4b901,normal
evt_da08e31f5443,invoice.rejected,cus_1ff3563e,inv_43d30b89,2026-04-15T22:37:04.819692Z,3887.61,idk_2926d0cb,high
evt_f1b25c1ced65,invoice.paid,cus_89a7cb68,,2026-04-15T22:37:04.872635Z,3398.93,idk_87add46f,high
evt_d20a2ab363a2,compliance.submitted,cus_97103557,inv_14fef541,2026-04-15T22:37:04.893708Z,3742.51,idk_f6879ff3,low
evt_b6e2664cf9ae,compliance.submitted,cus_acd5ca57,inv_1087480d,2026-04-15T22:37:04.897792Z,511.16,idk_887f6c54,high
evt_e32dc237e6af,invoice.paid,cus_8221c5dc,inv_9f74e73e,2026-04-15T22:37:04.962320Z,4817.11,idk_0107a689,normal
evt_ab188d96fb0a,compliance.submitted,cus_80922219,inv_99bf706f,2026-04-15T22:37:04.968757Z,4868.07,idk_b4465716,normal
evt_54dbb89a0aa0,compliance.submitted,cus_89a7cb68,inv_3286d1b9,2026-04-15T22:37:04.987358Z,4419.19,idk_92cbabde,normal
evt_57b474c73ec2,compliance.submitted,cus_a10fb4ab,inv_48cc1d7c,2026-04-15T22:37:04.992733Z,4009.9,idk_25451974,low
evt_63061fe81dd3,compliance.failed,cus_97373b5e,inv_d48f7fcd,2026-04-15T22:37:05.000430Z,4994.83,idk_6a6c7c93,high
evt_68daa270c790,compliance.failed,cus_d4060238,,2026-04-15T22:37:05.002234Z,117.22,idk_1293d1e3,normal
evt_83944b07aa70,invoice.validated,cus_cfedd7dc,inv_2584e2a6,2026-04-15T22:37:05.015675Z,3867.28,idk_fce85ee7,low
evt_de4532ef37f6,invoice.validated,cus_43132853,,2026-04-15T23:37:04.798957Z,337.18,idk_f95cc41a,normal
evt_f8f75b3b8b96,invoice.rejected,cus_f3e2ecda,inv_ccf2efa4,2026-04-15T23:37:04.807379Z,4648.91,idk_78be8747,low
evt_90aaaccf1c5c,invoice.paid,cus_c10ded0a,,2026-04-15T23:37:04.810966Z,4958.46,idk_f21c51ae,high
evt_c74e6a1408e5,invoice.rejected,cus_11dbfc3f,inv_43d33889,2026-04-15T23:37:04.840663Z,2225.66,idk_aaa81cae,normal
evt_fbd6e3e11d60,compliance.submitted,cus_e5bce881,inv_a4a3c77f,2026-04-15T23:37:04.847437Z,2051.98,idk_d8065831,normal
evt_7562b46ee65a,invoice.paid,cus_6665d177,,2026-04-15T23:37:04.864452Z,3198.24,idk_8015b06b,high
evt_4bf8d2eb5836,compliance.failed,cus_a10fb4ab,inv_48693751,2026-04-15T23:37:04.882772Z,2900.81,idk_6f614612,low
evt_9e00f32b8939,compliance.submitted,cus_701d4c45,,2026-04-15T23:37:04.891036Z,864.21,idk_a969b51b,low
evt_8a8aebe6339d,invoice.created,cus_c7c2be0c,,2026-04-15T23:37:04.893312Z,4715.84,idk_fc2e13dd,low
evt_aabd1d0fffcd,invoice.paid,cus_e44e1d65,,2026-04-15T23:37:04.906352Z,116.12,idk_c96bfa21,normal
evt_3c6498443865,invoice.rejected,cus_7ba1efa2,,2026-04-15T23:37:04.910847Z,1489.19,idk_6e5016e3,normal
evt_a101815e301c,compliance.submitted,cus_bc0ff9d8,inv_6ffcbcc3,2026-04-15T23:37:04.913408Z,4314.74,idk_cc0a032e,high
evt_26ca26f0d847,invoice.paid,cus_92c8c490,inv_efca4142,2026-04-15T23:37:04.942481Z,2076.72,idk_6f9b1d1b,normal
evt_60e7b092ef7f,invoice.validated,cus_a6d9cc67,inv_d120c2b7,2026-04-15T23:37:04.943919Z,4066.78,idk_4a7ca854,high
evt_890ad9cca16c,invoice.validated,cus_9e134787,inv_a786ef2f,2026-04-15T23:37:04.983658Z,3728.86,idk_f1075c17,low
evt_59e390d2c842,invoice.created,cus_d17473b1,,2026-04-16T00:37:04.790060Z,2930.35,idk_acc5ca91,high
evt_152d6a5984fa,invoice.paid,cus_701d4c45,inv_eda575e2,2026-04-16T00:37:04.857419Z,3264.45,idk_9531a95a,normal
evt_9ecccb98ca76,compliance.submitted,cus_d8231f83,inv_17e145c1,2026-04-16T00:37:04.859213Z,3124.84,idk_651c8f2b,low
evt_6e12250da70a,invoice.validated,cus_bc7a8b8e,,2026-04-16T00:37:04.866425Z,4666.86,idk_4d865aa8,high
evt_e8b647b28755,invoice.validated,cus_b89cd28c,inv_f4f5ef22,2026-04-16T00:37:04.876195Z,994.38,idk_abfafefb,high
evt_070210cf7696,invoice.validated,cus_a0b3e16f,inv_ce49fe92,2026-04-16T00:37:04.885773Z,3543.81,idk_87e8bfdc,high
evt_17d10289e1f4,compliance.failed,cus_7e7dd8d8,,2026-04-16T00:37:04.902925Z,4871.88,idk_6bf85508,normal
evt_41d756b6386e,compliance.failed,cus_f44f1851,,2026-04-16T00:37:04.914627Z,1159.18,idk_8c6b2dc0,low
evt_a277d9523e97,compliance.failed,cus_ff7cd56f,inv_921e0651,2026-04-16T00:37:04.926075Z,2168.42,idk_e6944050,low
evt_6fdbbcb42799,invoice.created,cus_c7c6e1e1,inv_c04a97db,2026-04-16T00:37:04.980448Z,3992.1,idk_f55ca9de,normal
evt_ab68a0e7d1d6,invoice.created,cus_226e5df8,inv_ea491f0a,2026-04-16T00:37:04.985784Z,4271.5,idk_ff7d9778,low
evt_1b7081c83c99,invoice.rejected,cus_ba38df4d,,2026-04-16T00:37:04.993559Z,3227.3,idk_b3024f09,low
evt_e8b599049d62,invoice.rejected,cus_6de90fa4,inv_611e5138,2026-04-16T01:37:04.785789Z,1056.42,idk_87f488f4,normal
evt_e954426e9ffa,invoice.created,cus_a10fb4ab,inv_6003becb,2026-04-16T01:37:04.797386Z,1081.48,idk_6dc82720,low
evt_bf0872336f15,compliance.submitted,cus_10654226,inv_f6ce744a,2026-04-16T01:37:04.800562Z,2996.87,idk_0f9f0810,high
evt_cccb12f1a235,invoice.validated,cus_d17473b1,inv_c64ca540,2026-04-16T01:37:04.811913Z,3571.19,idk_e4fa341b,high
evt_8a98f6ad50aa,invoice.validated,cus_6783700b,,2026-04-16T01:37:04.817223Z,4526.93,idk_a285fd76,high
evt_5b8ef34c2829,invoice.validated,cus_11dbfc3f,inv_4ab04e65,2026-04-16T01:37:04.820938Z,1951.21,idk_98efe0ad,normal
evt_9e4cf33444d5,compliance.submitted,cus_8a7da285,inv_9ef26881,2026-04-16T01:37:04.831118Z,3066.4,idk_5e543d3a,low
evt_f0e97a825a87,invoice.paid,cus_fe077f3c,inv_6edd9a25,2026-04-16T01:37:04.835705Z,3133.67,idk_b6110b84,high
evt_9165114b149e,invoice.validated,cus_c2f3b601,inv_4cc0a50c,2026-04-16T01:37:04.848116Z,3221.96,idk_5514e5ef,low
evt_5b5ac569bb61,invoice.validated,cus_1a031d1b,inv_a7f61ee5,2026-04-16T01:37:04.850087Z,1944.99,idk_e95f7125,normal
evt_b5b87b997c80,invoice.paid,cus_45d4d6e7,inv_46ad2d03,2026-04-16T01:37:04.871457Z,1915.87,idk_ef2f907f,high
evt_11dce6b31683,invoice.rejected,cus_45d4d6e7,inv_340710f9,2026-04-16T01:37:04.906050Z,3583.9,idk_67b224c9,normal
evt_b11f61887b54,invoice.rejected,cus_701d4c45,,2026-04-16T01:37:04.937246Z,296.35,idk_8e7503ef,low
evt_576dc2b89e4c,invoice.validated,cus_3b39dd7a,inv_2ab94f97,2026-04-16T01:37:04.946460Z,1723.99,idk_60487988,normal
evt_01ff1e10173a,invoice.paid,cus_9e134787,,2026-04-16T01:37:04.946971Z,15.23,idk_32cc3c18,normal
evt_a2d08faa70cb,invoice.created,cus_f44f1851,inv_ef7c771e,2026-04-16T01:37:04.955176Z,993.84,idk_7c6fa49a,low
evt_106e915084a0,invoice.validated,cus_c2f3b601,,2026-04-16T01:37:04.956003Z,1428.63,idk_bbf27037,low
evt_60b7048397cc,invoice.validated,cus_c7c2be0c,,2026-04-16T01:37:04.960283Z,2094.37,idk_42b05756,high
evt_ce724293238c,compliance.submitted,cus_471e9d57,inv_36db5a5f,2026-04-16T01:37:04.966862Z,3481.74,idk_37bd77a1,low
evt_cf3f0b013ac9,invoice.paid,cus_aaf3ef61,,2026-04-16T01:37:04.983442Z,3208.95,idk_7c305403,low
evt_435e41fe31b7,invoice.rejected,cus_226e5df8,inv_76d407fd,2026-04-16T01:37:05.004359Z,4142.88,idk_9174fa01,low
evt_43092ef6ba3b,invoice.paid,cus_3e1743b5,inv_420725b5,2026-04-16T02:37:04.791293Z,2684.33,idk_01e7968a,low
evt_70217fdf9500,invoice.created,cus_84b1ac3f,inv_210f9048,2026-04-16T02:37:04.815252Z,4025.52,idk_4a8ca2c0,low
evt_a4716f0b94c8,invoice.validated,cus_8b208913,inv_42474f6d,2026-04-16T02:37:04.844046Z,3620.1,idk_af14eb3f,low
evt_4ef54576144d,invoice.rejected,cus_bbf5e3c6,inv_bb6e0082,2026-04-16T02:37:04.858548Z,2329.47,idk_c7b03f05,normal
evt_3394df848a62,invoice.created,cus_0ebf6058,inv_c59fded5,2026-04-16T02:37:04.882820Z,1199.59,idk_33a98e12,high
evt_dec6794744cf,compliance.submitted,cus_a10fb4ab,,2026-04-16T02:37:04.898275Z,927.56,idk_9f2f376c,high
evt_350701139143,invoice.validated,cus_b399d6ea,inv_e6158a36,2026-04-16T02:37:04.916929Z,3126.32,idk_f2bd15df,low
evt_55805803ff2e,invoice.created,cus_ff7cd56f,,2026-04-16T02:37:04.920709Z,627.69,idk_23cbded5,low
evt_88b8922adb8a,compliance.submitted,cus_9e134787,inv_56bb9d31,2026-04-16T02:37:04.936258Z,2158.48,idk_5dcb34e6,high
evt_52255dc3220e,invoice.created,cus_92c8c490,inv_4f2ae43a,2026-04-16T02:37:04.949251Z,689.84,idk_49dd099e,low
evt_bfe555f8b14a,invoice.validated,cus_a10fb4ab,,2026-04-16T02:37:04.976569Z,3759.16,idk_2274bfd6,high
evt_a77b2e7c1eed,invoice.validated,cus_bc0ff9d8,inv_dccada84,2026-04-16T02:37:04.980778Z,30.47,idk_26be80a7,high
evt_d7aa5f4afd45,invoice.validated,cus_e478c79c,inv_f8231f36,2026-04-16T02:37:05.000143Z,4787.49,idk_2b5606b3,high
evt_c1b1a5321628,invoice.created,cus_5b3410f0,inv_e80e3de0,2026-04-16T02:37:05.014282Z,423.64,idk_28bd7fdf,high
evt_a418c8298a99,invoice.validated,cus_4f8e74cf,,2026-04-16T03:37:04.804669Z,4685.85,idk_a8336b84,high
evt_9dc77cc5fd60,invoice.validated,cus_4d2b4c47,inv_b2ae48aa,2026-04-16T03:37:04.811935Z,530.51,idk_c931700b,high
evt_16579f9370c5,invoice.paid,cus_b89cd28c,inv_ca0ae4d6,2026-04-16T03:37:04.815351Z,882.72,idk_9a05c02c,normal
evt_fa0180ca0fd7,invoice.created,cus_f09eadbd,inv_6ee0e362,2026-04-16T03:37:04.815392Z,3603.37,idk_b8fe1f0c,low
evt_31f7e71c9735,invoice.paid,cus_d7890521,,2026-04-16T03:37:04.823484Z,4274.48,idk_1a129349,low
evt_10885f204e84,compliance.submitted,cus_57ae260e,inv_a9e9bc24,2026-04-16T03:37:04.841924Z,187.19,idk_4f43ce8d,high
evt_92b4552fd1a9,compliance.failed,cus_11dbfc3f,inv_f55392ae,2026-04-16T03:37:04.854816Z,1201.09,idk_5ba5472b,normal
evt_0556f5720442,invoice.created,cus_a6d9cc67,inv_a327908d,2026-04-16T03:37:04.861874Z,3784.49,idk_de9c5f17,high
evt_429972c87c95,invoice.paid,cus_3e1743b5,,2026-04-16T03:37:04.866493Z,3851.97,idk_ad2e5bb5,low
evt_a6da3629d643,invoice.created,cus_f570eeee,,2026-04-16T03:37:04.885283Z,4063.06,idk_14b7451d,low
evt_f5e56109d30c,compliance.submitted,cus_11dbfc3f,,2026-04-16T03:37:04.900191Z,3785.45,idk_7523d68f,low
evt_799dc4604263,invoice.validated,cus_ad61fe25,,2026-04-16T03:37:04.920357Z,230.62,idk_9ea578c6,low
evt_e11c8f4c79a5,compliance.failed,cus_84b1ac3f,inv_39f3b15a,2026-04-16T03:37:04.954973Z,2548.39,idk_2033fb17,normal
evt_fa9a784e3b26,invoice.validated,cus_1a031d1b,inv_c11cc21f,2026-04-16T03:37:04.985629Z,1239.19,idk_cfe6965c,normal
evt_a511731c0c9a,invoice.validated,cus_f09eadbd,inv_5150c228,2026-04-16T03:37:04.997422Z,349.63,idk_9fe3cd9e,normal
evt_221eefe20824,invoice.rejected,cus_701d4c45,,2026-04-16T03:37:05.005808Z,1160.64,idk_85e7e8a4,normal
evt_d12fea6c185a,invoice.created,cus_9e134787,inv_9a9117c1,2026-04-16T04:37:04.831700Z,3947.88,idk_9092a3fe,low
evt_f8b0b763e84a,compliance.submitted,cus_8221c5dc,inv_a8fa807b,2026-04-16T04:37:04.837706Z,3540.14,idk_ba980259,high
evt_729ac088379e,compliance.submitted,cus_abaa5612,inv_de54f804,2026-04-16T04:37:04.840130Z,1458.86,idk_13976387,low
evt_51c15f3f61a0,invoice.paid,cus_f47ee72e,inv_0dba9248,2026-04-16T04:37:04.848682Z,1288.24,idk_e6cc1eb7,normal
evt_70fd6129a017,invoice.created,cus_1f464e97,,2026-04-16T04:37:04.849432Z,4496.71,idk_025113ea,normal
evt_ac718cc42124,invoice.rejected,cus_8a7da285,inv_c1e0887b,2026-04-16T04:37:04.854673Z,2276.81,idk_2cc69392,high
evt_11d162e3911d,invoice.created,cus_43132853,inv_29e503e1,2026-04-16T04:37:04.859504Z,3869.12,idk_ba4b5a65,high
evt_0cbd63f167db,invoice.created,cus_e477ddc1,inv_726d8813,2026-04-16T04:37:04.912544Z,3575.24,idk_b3b69fa6,low
evt_7293223fb707,invoice.paid,cus_02ced190,,2026-04-16T04:37:04.912600Z,3815.69,idk_ab69f9e0,low
evt_f5d7e36f5be3,invoice.validated,cus_4f7d6cfe,inv_a047d1be,2026-04-16T04:37:04.925491Z,823.23,idk_595842a6,normal
