endpoint_id,customer_id,endpoint_url_type,expected_signature_version,avg_success_rate,rate_limit_per_minute,active,last_config_change_at
ep_7b0ccfe9,cus_226e5df8,development,v1,0.99,600,True,2026-03-25T13:37:04.759999Z
ep_090112c7,cus_226e5df8,development,v3,0.99,3000,True,2025-09-18T13:37:04.760014Z
ep_cd5420a8,cus_3f6d5d76,production,v3,0.99,600,False,2026-03-24T13:37:04.760030Z
ep_45fd4566,cus_1b3e0074,staging,v1,0.99,60,True,2025-07-26T13:37:04.760048Z
ep_6d94fb14,cus_92c8c490,development,v1,0.99,3000,False,2026-03-07T13:37:04.760063Z
ep_c37c4b40,cus_e478c79c,development,v2,0.99,3000,True,2025-08-17T13:37:04.760078Z
ep_a1d2fd64,cus_9c19208b,production,v1,0.99,3000,True,2025-09-21T13:37:04.760093Z
ep_4d4ef638,cus_946f7608,production,v1,0.99,3000,True,2026-01-19T13:37:04.760108Z
ep_19c0916b,cus_4f7d6cfe,staging,v2,0.5,600,True,2025-05-28T13:37:04.760123Z
ep_e12ba2e8,cus_f3e2ecda,development,v3,0.99,60,True,2026-02-14T13:37:04.760138Z
ep_1836e3e7,cus_1ff3563e,staging,v1,0.99,60,True,2025-06-04T13:37:04.760157Z
ep_5511dcb7,cus_1a031d1b,development,v3,0.99,600,True,2026-05-07T13:37:04.760173Z
ep_74bdc4b9,cus_693cc64f,production,v2,0.99,600,True,2026-01-30T13:37:04.760189Z
ep_75f99aa5,cus_701d4c45,staging,v1,0.99,60,True,2026-02-25T13:37:04.760204Z
ep_a03479ec,cus_e44e1d65,staging,v1,0.5,60,True,2026-03-08T13:37:04.760219Z
ep_968ab453,cus_05091141,development,v3,0.99,3000,True,2025-07-07T13:37:04.760234Z
ep_6ba14193,cus_24f1af9e,production,v3,0.99,3000,True,2026-01-16T13:37:04.760250Z
ep_f5e4fc23,cus_6783700b,staging,v1,0.5,60,True,2025-08-17T13:37:04.760266Z
ep_d908d290,cus_abaa5612,staging,v2,0.1,3000,True,2025-08-16T13:37:04.760282Z
ep_a3745270,cus_02199d44,staging,v3,0.99,3000,True,2025-12-13T13:37:04.760297Z
ep_912fd8ad,cus_97103557,production,v3,0.99,600,True,2026-01-23T13:37:04.760312Z
ep_d9d5ffe8,cus_acd5ca57,development,v1,0.8,10000,True,2025-06-22T13:37:04.760328Z
ep_4eecfb91,cus_9e134787,staging,v2,0.8,10000,True,2025-05-16T13:37:04.760346Z
ep_fdb06a07,cus_deb17d12,development,v2,0.99,600,True,2026-01-14T13:37:04.760361Z
ep_b9694d77,cus_d17473b1,development,v1,0.8,600,True,2026-01-26T13:37:04.760376Z
ep_001ea170,cus_bc7a8b8e,staging,v3,0.99,3000,True,2025-07-05T13:37:04.760392Z
ep_ce1e5881,cus_cfedd7dc,development,v1,0.1,3000,True,2025-08-28T13:37:04.760408Z
ep_a1ae150f,cus_565a5afc,development,v3,0.99,60,True,2025-10-20T13:37:04.760423Z
ep_eb633816,cus_086ce2c4,development,v2,0.99,3000,True,2026-03-28T13:37:04.760438Z
ep_7b5b2e6a,cus_80922219,production,v1,0.99,600,True,2025-07-11T13:37:04.760456Z
ep_4a4b8323,cus_bcb0dc88,staging,v3,0.99,600,True,2026-03-17T13:37:04.760471Z
ep_3dd26957,cus_a10fb4ab,development,v1,0.99,600,False,2026-01-20T13:37:04.760485Z
ep_a3e8cab6,cus_89a7cb68,production,v1,0.1,60,True,2025-06-14T13:37:04.760500Z
ep_4ea8d835,cus_4ea36b7d,staging,v2,0.99,10000,True,2025-09-03T13:37:04.760517Z
ep_0c51bf3a,cus_20786a5a,production,v3,0.99,600,True,2026-02-14T13:37:04.760532Z
ep_2514e64d,cus_b399d6ea,production,v1,0.99,3000,True,2026-03-24T13:37:04.760547Z
ep_6a5cfadd,cus_05112f1a,production,v1,0.99,60,True,2025-11-21T13:37:04.760562Z
ep_fc33fc88,cus_028bc838,development,v2,0.99,3000,True,2026-02-20T13:37:04.760577Z
ep_7941dae8,cus_ba38df4d,staging,v3,0.5,10000,True,2025-08-01T13:37:04.760592Z
ep_781f2066,cus_61126bec,development,v3,0.99,10000,True,2025-08-16T13:37:04.760608Z
ep_944ae6ae,cus_4e70c904,production,v2,0.99,10000,True,2025-07-01T13:37:04.760623Z
ep_ec64e01d,cus_73ecd3fb,staging,v2,0.1,600,True,2026-02-03T13:37:04.760639Z
ep_05dffd21,cus_d17473b1,production,v2,0.5,600,False,2026-04-15T13:37:04.760656Z
ep_7a46e695,cus_226e5df8,production,v2,0.99,10000,True,2025-06-18T13:37:04.760676Z
ep_4aa64d7d,cus_261230c2,staging,v2,0.99,60,True,2025-11-23T13:37:04.760692Z
ep_a5155309,cus_a10fb4ab,development,v1,0.99,600,True,2025-08-07T13:37:04.760707Z
ep_69dde631,cus_5b3410f0,development,v3,0.99,3000,False,2025-10-04T13:37:04.760722Z
ep_623f3016,cus_e5bce881,production,v2,0.99,10000,True,2025-07-20T13:37:04.760738Z
ep_0aa7a800,cus_7e7dd8d8,staging,v3,0.1,10000,True,2025-09-01T13:37:04.760753Z
ep_8273e83c,cus_77178f10,production,v3,0.99,3000,True,2025-06-17T13:37:04.760770Z
ep_190b3156,cus_deb17d12,production,v3,0.99,10000,True,2025-12-06T13:37:04.760785Z
ep_8f95487c,cus_bbf5e3c6,development,v2,0.99,60,True,2026-03-20T13:37:04.760801Z
ep_3473db61,cus_84b1ac3f,development,v1,0.99,60,True,2026-01-08T13:37:04.760815Z
ep_5ab94f53,cus_f44f1851,production,v3,0.8,60,True,2025-10-22T13:37:04.760830Z
ep_b209e0b1,cus_f4412bc1,staging,v3,0.99,60,True,2025-12-29T13:37:04.760849Z
ep_636f5767,cus_92c8c490,development,v2,0.99,60,True,2025-11-07T13:37:04.760866Z
ep_bdfce09c,cus_66583a26,development,v1,0.99,600,True,2025-06-20T13:37:04.760881Z
ep_2eaa4d3d,cus_1a031d1b,staging,v2,0.99,10000,True,2026-02-14T13:37:04.760896Z
ep_163f23e3,cus_2361fdf8,production,v1,0.99,600,False,2025-10-21T13:37:04.760912Z
ep_9ef84a2b,cus_d17473b1,development,v3,0.99,600,True,2026-02-12T13:37:04.760926Z
ep_cbe29bb1,cus_5bab8560,production,v3,0.99,60,True,2025-09-06T13:37:04.760941Z
ep_36298786,cus_bbf5e3c6,production,v3,0.99,10000,True,2025-11-07T13:37:04.760956Z
ep_c1edbc93,cus_97373b5e,development,v2,0.99,10000,True,2025-09-15T13:37:04.760970Z
ep_5eec0e98,cus_c338d17d,development,v2,0.99,60,True,2025-09-29T13:37:04.760985Z
ep_7de00a12,cus_c7c2be0c,production,v1,0.99,60,True,2025-10-03T13:37:04.761000Z
ep_5d8f3202,cus_674ef98f,production,v1,0.99,3000,True,2025-10-24T13:37:04.761014Z
ep_e5ac456b,cus_9e134787,development,v2,0.99,600,True,2025-08-07T13:37:04.761029Z
ep_2f346f19,cus_d8231f83,production,v1,0.99,600,True,2025-07-08T13:37:04.761045Z
ep_d43d5483,cus_8a7da285,development,v1,0.99,3000,True,2026-04-17T13:37:04.761062Z
ep_c4d79deb,cus_a6d9cc67,production,v1,0.99,3000,True,2025-12-12T13:37:04.761077Z
ep_aee1b698,cus_3f6d5d76,development,v1,0.99,600,True,2025-08-29T13:37:04.761093Z
ep_8e0a24a4,cus_0d76cb5e,production,v3,0.5,10000,True,2025-07-22T13:37:04.761109Z
ep_58e87101,cus_6de90fa4,production,v3,0.5,60,True,2026-02-17T13:37:04.761124Z
ep_5df5a60e,cus_f44f1851,development,v2,0.8,60,True,2026-03-12T13:37:04.761139Z
ep_bd2283e1,cus_c8d4182e,production,v3,0.5,3000,True,2026-01-15T13:37:04.761154Z
ep_067a07bd,cus_b5a76dc2,production,v1,0.99,60,True,2025-12-12T13:37:04.761169Z
ep_e9de66f9,cus_6946509d,development,v2,0.99,3000,True,2025-06-27T13:37:04.761184Z
ep_4ee58920,cus_fe077f3c,development,v1,0.99,600,True,2026-03-10T13:37:04.761200Z
ep_5a5cea6d,cus_7009fcf6,development,v2,0.8,3000,True,2025-10-21T13:37:04.761215Z
ep_03dcc937,cus_18dd0330,production,v3,0.8,3000,True,2025-12-01T13:37:04.761230Z
ep_5fee0b8c,cus_f6cdd97a,development,v3,0.1,10000,True,2025-08-06T13:37:04.761248Z
ep_595f6087,cus_abaa5612,development,v2,0.5,10000,True,2025-09-12T13:37:04.761264Z
ep_b73fc4be,cus_3167e9e6,staging,v1,0.99,10000,True,2025-08-13T13:37:04.761279Z
ep_e15ed601,cus_b237ecf5,development,v1,0.99,3000,True,2025-12-29T13:37:04.761295Z
ep_b8fbefc1,cus_a10fb4ab,development,v2,0.99,600,False,2026-03-11T13:37:04.761309Z
ep_b9ac7df8,cus_269ef271,staging,v3,0.1,600,True,2025-09-20T13:37:04.761324Z
ep_c1f20289,cus_deb17d12,development,v2,0.1,600,False,2025-12-25T13:37:04.761348Z
ep_b6e78999,cus_cfedd7dc,staging,v1,0.8,600,True,2026-01-30T13:37:04.761384Z
ep_4cbe5a0e,cus_11dbfc3f,development,v2,0.5,600,True,2025-06-22T13:37:04.761404Z
ep_6e62e2bb,cus_226e5df8,staging,v3,0.99,600,True,2025-06-06T13:37:04.761421Z
ep_2eef4553,cus_f09eadbd,development,v3,0.99,600,False,2026-05-06T13:37:04.761437Z
ep_fd42cfe3,cus_a6d9cc67,staging,v1,0.99,60,True,2025-08-01T13:37:04.761453Z
ep_96f398ac,cus_bec6b9a8,development,v2,0.99,600,False,2025-11-17T13:37:04.761468Z
ep_bf34e45f,cus_b2280d89,development,v1,0.8,600,True,2026-01-31T13:37:04.761483Z
ep_7fef7526,cus_8193a7b3,staging,v2,0.99,60,True,2025-08-13T13:37:04.761501Z
ep_dfed35a4,cus_72467a92,production,v1,0.1,3000,True,2025-11-08T13:37:04.761516Z
ep_fe0217df,cus_f09eadbd,staging,v2,0.99,3000,True,2025-11-05T13:37:04.761531Z
ep_779d19ac,cus_a10fb4ab,development,v2,0.99,3000,False,2025-08-06T13:37:04.761546Z
ep_e93efb8b,cus_45d4d6e7,staging,v3,0.99,60,True,2025-10-25T13:37:04.761561Z
ep_d1b58d4e,cus_f570eeee,production,v3,0.8,3000,True,2025-06-02T13:37:04.761576Z
ep_16185943,cus_b89cd28c,development,v3,0.5,60,True,2026-01-06T13:37:04.761591Z
ep_5624cf3d,cus_05091141,staging,v3,0.99,10000,True,2025-10-27T13:37:04.761607Z
ep_fdb84877,cus_f4412bc1,staging,v3,0.99,600,True,2026-02-08T13:37:04.761621Z
ep_1192135f,cus_701d4c45,staging,v2,0.5,10000,True,2026-01-27T13:37:04.761637Z
ep_c3bb1550,cus_02ced190,development,v2,0.99,600,True,2025-06-14T13:37:04.761652Z
ep_059f3afd,cus_0f1fb209,staging,v1,0.5,60,True,2025-12-29T13:37:04.761667Z
ep_320c0249,cus_9c19208b,production,v3,0.1,10000,True,2026-01-26T13:37:04.761682Z
ep_9a85403d,cus_a0b3e16f,development,v1,0.8,10000,False,2025-09-20T13:37:04.761702Z
ep_64e6b3b7,cus_c51cf566,staging,v2,0.99,3000,False,2025-12-09T13:37:04.761717Z
ep_1660ad0c,cus_e5bce881,production,v3,0.99,600,True,2025-10-28T13:37:04.761732Z
ep_9b08c740,cus_d4060238,staging,v3,0.99,10000,False,2025-07-02T13:37:04.761747Z
ep_0fb72144,cus_d3fe2b6b,staging,v3,0.99,3000,True,2025-10-01T13:37:04.761762Z
ep_05c5b89e,cus_75f0428a,production,v2,0.99,10000,True,2025-10-05T13:37:04.761791Z
ep_45e37157,cus_10654226,production,v2,0.99,60,True,2025-06-25T13:37:04.761806Z
ep_da0e68ef,cus_47fddada,production,v1,0.99,10000,True,2025-11-16T13:37:04.761822Z
ep_e6655528,cus_d4060238,production,v3,0.8,3000,True,2026-04-21T13:37:04.761837Z
ep_3d5b7878,cus_21ce0b07,staging,v2,0.99,10000,True,2025-12-03T13:37:04.761852Z
ep_27673fd7,cus_8b208913,staging,v2,0.99,10000,False,2025-09-15T13:37:04.761867Z
ep_0d77acd1,cus_cfedd7dc,development,v2,0.8,600,True,2025-10-24T13:37:04.761885Z
ep_c931a490,cus_c2f3b601,staging,v1,0.1,3000,True,2026-03-31T13:37:04.761900Z
ep_320d2032,cus_b5a76dc2,development,v1,0.8,3000,True,2026-04-17T13:37:04.761915Z
ep_1003af42,cus_fe077f3c,development,v2,0.5,3000,True,2026-02-27T13:37:04.761929Z
ep_8d5552f9,cus_97373b5e,development,v2,0.99,10000,True,2025-11-20T13:37:04.761944Z
ep_d05d34e0,cus_471e9d57,development,v3,0.5,10000,False,2026-05-03T13:37:04.761959Z
ep_792ef5cf,cus_4f7d6cfe,production,v3,0.8,600,True,2025-06-09T13:37:04.761973Z
ep_eb7e0b6f,cus_deb17d12,staging,v2,0.99,60,True,2026-01-09T13:37:04.761988Z
ep_78a26b96,cus_4914be43,development,v2,0.99,3000,True,2026-02-24T13:37:04.762003Z
ep_f8a93ded,cus_4d2b4c47,staging,v2,0.8,600,True,2026-05-06T13:37:04.762021Z
ep_f3057c03,cus_4ea36b7d,staging,v3,0.99,10000,True,2026-03-11T13:37:04.762036Z
ep_696d7808,cus_05091141,production,v1,0.99,10000,False,2025-09-10T13:37:04.762050Z
ep_e3e73340,cus_ff7cd56f,staging,v2,0.5,600,True,2026-04-29T13:37:04.762065Z
ep_8a3a315d,cus_7c410cd8,production,v2,0.1,10000,False,2025-09-15T13:37:04.762080Z
ep_64f38ac5,cus_e44e1d65,production,v2,0.99,10000,True,2025-05-22T13:37:04.762094Z
ep_aaf9058c,cus_cafb9a52,production,v1,0.8,60,True,2025-10-16T13:37:04.762109Z
ep_60d48219,cus_a6d9cc67,development,v3,0.99,3000,False,2025-10-01T13:37:04.762124Z
ep_749d396f,cus_05b86f88,staging,v3,0.99,60,False,2025-11-02T13:37:04.762139Z
ep_9442a910,cus_37f90dd3,development,v3,0.99,600,True,2026-02-04T13:37:04.762154Z
ep_f6e80e8a,cus_b237ecf5,staging,v3,0.99,3000,True,2026-02-19T13:37:04.762169Z
ep_8d36b614,cus_fe077f3c,staging,v2,0.99,60,True,2025-11-25T13:37:04.762184Z
ep_eb309cfd,cus_8221c5dc,staging,v3,0.8,600,True,2025-08-27T13:37:04.762198Z
ep_97ae3aef,cus_04fa30e3,development,v1,0.99,10000,True,2025-06-27T13:37:04.762213Z
ep_a679dd8f,cus_a10fb4ab,production,v3,0.99,600,True,2026-03-06T13:37:04.762228Z
ep_a75b7382,cus_bc0ff9d8,development,v1,0.99,60,True,2025-06-02T13:37:04.762243Z
ep_deef2083,cus_4ea36b7d,development,v1,0.99,10000,True,2025-09-13T13:37:04.762258Z
ep_5a7f3dac,cus_c2f3b601,production,v2,0.99,10000,True,2025-08-15T13:37:04.762273Z
ep_1caa0a3a,cus_ad61fe25,development,v2,0.99,600,True,2025-12-13T13:37:04.762306Z
ep_b93ce194,cus_471e9d57,production,v3,0.8,3000,True,2026-02-05T13:37:04.762352Z
ep_4cb15917,cus_7ba1efa2,production,v3,0.99,60,True,2026-05-12T13:37:04.762385Z
ep_54f66162,cus_7e7dd8d8,development,v1,0.99,10000,True,2025-11-01T13:37:04.762418Z
ep_bc2b356e,cus_0ebf6058,staging,v1,0.99,60,True,2025-07-27T13:37:04.762539Z
ep_079d5afb,cus_bbf5e3c6,staging,v3,0.8,60,True,2025-12-19T13:37:04.762655Z
ep_31848d9c,cus_cfedd7dc,production,v2,0.8,600,True,2026-03-31T13:37:04.762711Z
ep_9fdc531c,cus_cfcd3b7a,development,v2,0.1,60,False,2026-01-01T13:37:04.762750Z
ep_e5a94f04,cus_f4412bc1,development,v3,0.99,60,True,2025-09-25T13:37:04.762789Z
ep_1481e8b3,cus_ba38df4d,staging,v2,0.99,3000,True,2026-03-09T13:37:04.762824Z
ep_a068cb32,cus_d17473b1,production,v1,0.1,60,True,2025-06-29T13:37:04.762858Z
ep_7cd61b59,cus_4fc5acc5,staging,v2,0.99,600,True,2026-01-22T13:37:04.762890Z
ep_9493dc2a,cus_7af03d4a,staging,v1,0.99,60,True,2025-05-19T13:37:04.762922Z
ep_1ec1db7f,cus_d8231f83,staging,v1,0.1,10000,True,2025-12-18T13:37:04.762956Z
ep_07d405ff,cus_6665d177,development,v1,0.99,3000,False,2026-05-03T13:37:04.762988Z
ep_74b18748,cus_701d4c45,production,v3,0.8,600,True,2026-02-01T13:37:04.763018Z
ep_f156d419,cus_6783700b,development,v3,0.8,10000,True,2025-09-24T13:37:04.763050Z
ep_52e65089,cus_b2a70a33,staging,v1,0.99,600,True,2026-03-19T13:37:04.763080Z
ep_f58c4e6b,cus_9c7a0a1e,development,v2,0.99,600,True,2025-08-01T13:37:04.763111Z
ep_408a3a19,cus_af7d06fe,production,v1,0.99,60,True,2025-09-01T13:37:04.763142Z
ep_78f07792,cus_bc7a8b8e,staging,v2,0.8,600,True,2025-06-30T13:37:04.763173Z
ep_82ed9d42,cus_57ae260e,staging,v1,0.99,3000,True,2025-06-01T13:37:04.763222Z
ep_dee3fd3e,cus_d290f0a5,development,v3,0.1,60,True,2025-12-26T13:37:04.763256Z
ep_e396ee4f,cus_b8e6b380,staging,v1,0.99,10000,True,2025-09-15T13:37:04.763286Z
ep_e68aedff,cus_d7890521,staging,v1,0.5,60,True,2026-02-17T13:37:04.763321Z
ep_a7458361,cus_9c19208b,production,v3,0.99,60,True,2025-09-03T13:37:04.763353Z
ep_7f07791b,cus_cfedd7dc,development,v1,0.99,600,True,2025-11-09T13:37:04.763384Z
ep_88a49aef,cus_f47ee72e,staging,v2,0.99,600,True,2025-10-18T13:37:04.763410Z
ep_c48b4254,cus_89eec4bd,production,v3,0.99,60,True,2026-02-13T13:37:04.763437Z
ep_9fb36cce,cus_1f464e97,staging,v3,0.5,600,True,2025-07-12T13:37:04.763467Z
ep_fa65bec6,cus_b2a70a33,development,v1,0.99,60,False,2025-09-30T13:37:04.763498Z
ep_1bed0018,cus_3b39dd7a,production,v1,0.8,10000,True,2026-01-04T13:37:04.763529Z
ep_036ca8a1,cus_24ebe3a0,staging,v1,0.99,10000,True,2025-10-07T13:37:04.763555Z
ep_85ff9016,cus_ba38df4d,staging,v2,0.99,10000,True,2025-06-15T13:37:04.763578Z
ep_db6c24a9,cus_6de90fa4,staging,v3,0.99,3000,True,2025-07-20T13:37:04.763638Z
ep_6142e7ad,cus_8221c5dc,development,v3,0.8,60,True,2025-09-12T13:37:04.763687Z
ep_a7cb3b98,cus_89a7cb68,staging,v3,0.99,10000,True,2025-09-30T13:37:04.763723Z
ep_b04a83be,cus_84a5055b,staging,v1,0.8,3000,True,2025-09-23T13:37:04.763768Z
ep_2c08e7cd,cus_f44f1851,development,v3,0.99,3000,True,2026-04-04T13:37:04.763802Z
ep_e9538108,cus_72467a92,staging,v1,0.99,600,True,2025-10-26T13:37:04.763833Z
ep_54083279,cus_d3fe2b6b,production,v1,0.99,600,True,2025-12-20T13:37:04.763869Z
ep_4cc5e42e,cus_8a7da285,production,v2,0.99,60,True,2025-10-30T13:37:04.763901Z
ep_7bf97108,cus_52b2dc3c,production,v3,0.1,600,True,2026-05-03T13:37:04.763933Z
ep_fb22e51d,cus_21ce0b07,production,v2,0.99,600,True,2025-08-19T13:37:04.763963Z
ep_62fb3671,cus_bec6b9a8,production,v3,0.99,3000,True,2026-03-22T13:37:04.763994Z
ep_01bbc8d8,cus_bc0ff9d8,production,v1,0.99,600,True,2026-02-21T13:37:04.764052Z
ep_c8400627,cus_10654226,production,v1,0.99,3000,False,2025-12-15T13:37:04.764088Z
ep_12201ecd,cus_57ae260e,production,v2,0.99,600,True,2026-01-12T13:37:04.764119Z
ep_33eecc56,cus_acd5ca57,staging,v1,0.99,60,True,2025-06-04T13:37:04.764149Z
ep_dbf5e00e,cus_84b1ac3f,staging,v3,0.99,60,True,2025-07-14T13:37:04.764179Z
ep_5bde5cdb,cus_9e134787,staging,v1,0.8,600,True,2026-04-23T13:37:04.764212Z
ep_c5d6d2b5,cus_d8bd1af4,production,v2,0.99,600,True,2025-08-11T13:37:04.764249Z
ep_aac34ed8,cus_1067c55c,staging,v1,0.5,60,True,2026-01-11T13:37:04.764280Z
ep_22147aac,cus_3e1743b5,staging,v3,0.99,600,True,2026-04-13T13:37:04.764311Z
ep_6bd17b81,cus_674ef98f,production,v3,0.99,60,True,2025-10-09T13:37:04.764346Z
ep_4a7c1253,cus_ad61fe25,development,v2,0.8,10000,True,2025-11-05T13:37:04.764376Z
ep_3f32149b,cus_565a5afc,development,v2,0.99,3000,False,2025-05-26T13:37:04.764407Z
ep_7a94af03,cus_e478c79c,production,v2,0.8,60,True,2026-01-29T13:37:04.764439Z
ep_52bb0b21,cus_acd5ca57,staging,v1,0.99,600,True,2025-08-12T13:37:04.764468Z
ep_427be4b0,cus_f47ee72e,production,v1,0.99,10000,True,2025-11-02T13:37:04.764499Z
ep_6b9a9583,cus_aaf3ef61,staging,v1,0.8,600,True,2025-10-23T13:37:04.764536Z
ep_642a1cb2,cus_c7c6e1e1,staging,v1,0.99,3000,True,2025-10-17T13:37:04.764567Z
ep_7dfca98c,cus_02ced190,staging,v1,0.8,10000,True,2025-10-13T13:37:04.764598Z
ep_a81f83e3,cus_9e134787,staging,v1,0.99,10000,True,2026-01-29T13:37:04.764628Z
ep_f4877266,cus_05b86f88,staging,v1,0.99,3000,True,2025-07-06T13:37:04.764657Z
ep_d7334e3b,cus_d24900e9,production,v1,0.99,600,True,2025-09-04T13:37:04.764688Z
ep_9f6028d9,cus_d5d2b1d5,staging,v3,0.99,600,True,2026-03-18T13:37:04.764721Z
ep_f304d8b2,cus_1067c55c,staging,v3,0.8,60,True,2025-12-10T13:37:04.764752Z
ep_ef58dab8,cus_6d404541,production,v2,0.99,3000,True,2025-06-18T13:37:04.764787Z
ep_e269dfce,cus_a1ca23cc,production,v3,0.99,60,True,2025-06-25T13:37:04.764818Z
ep_d22c069d,cus_4ebeb3a4,production,v3,0.99,10000,True,2025-06-14T13:37:04.764848Z
ep_ec73ff71,cus_c10ded0a,production,v2,0.99,10000,True,2025-10-18T13:37:04.764878Z
ep_2777aaac,cus_780fd030,development,v3,0.99,600,False,2026-05-05T13:37:04.764908Z
ep_f9a8514c,cus_e477ddc1,production,v1,0.99,10000,True,2025-07-21T13:37:04.764938Z
ep_38125457,cus_b237ecf5,production,v3,0.1,10000,True,2025-08-08T13:37:04.764968Z
ep_c2b63475,cus_bbf5e3c6,production,v3,0.1,60,True,2026-05-01T13:37:04.764998Z
ep_fb8a6580,cus_b399d6ea,production,v1,0.5,10000,False,2026-01-14T13:37:04.765028Z
ep_9b8e38e4,cus_4f8e74cf,production,v3,0.1,3000,True,2025-07-10T13:37:04.765060Z
ep_6538319e,cus_b8e6b380,staging,v2,0.99,600,True,2025-09-12T13:37:04.765090Z
ep_9c8e5632,cus_43132853,staging,v3,0.99,10000,True,2025-10-11T13:37:04.765125Z
ep_ab092825,cus_c7c6e1e1,staging,v3,0.99,60,True,2025-09-26T13:37:04.765156Z
ep_6fab88d5,cus_4d2b4c47,staging,v2,0.99,600,True,2025-07-02T13:37:04.765187Z
ep_b8da01e0,cus_cafb9a52,development,v2,0.99,3000,True,2025-08-22T13:37:04.765219Z
