event_id,delivery_state,failure_reason,safe_to_replay,recommended_action
evt_70217fdf9500,expired,payload_too_large,False,reduce_payload_size
evt_a4716f0b94c8,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_4ef54576144d,recovered,none,False,none
evt_3394df848a62,delivered,none,False,none
evt_dec6794744cf,delivered,none,False,none
evt_350701139143,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_55805803ff2e,delivered,none,False,none
evt_88b8922adb8a,delivered,none,False,none
evt_52255dc3220e,delivered,none,False,none
evt_bfe555f8b14a,expired,payload_too_large,False,reduce_payload_size
evt_a77b2e7c1eed,delivered,none,False,none
evt_d7aa5f4afd45,expired,payload_too_large,False,reduce_payload_size
evt_c1b1a5321628,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_a418c8298a99,expired,payload_too_large,False,reduce_payload_size
evt_9dc77cc5fd60,expired,malformed_response,True,investigate
evt_16579f9370c5,expired,invalid_signature,True,verify_signature_config
evt_fa0180ca0fd7,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_31f7e71c9735,expired,payload_too_large,False,reduce_payload_size
evt_10885f204e84,delivered,none,False,none
evt_92b4552fd1a9,delivered,none,False,none
evt_0556f5720442,expired,payload_too_large,False,reduce_payload_size
evt_429972c87c95,expired,payload_too_large,False,reduce_payload_size
evt_a6da3629d643,expired,payload_too_large,False,reduce_payload_size
evt_f5e56109d30c,expired,payload_too_large,False,reduce_payload_size
evt_799dc4604263,expired,invalid_signature,True,verify_signature_config
evt_e11c8f4c79a5,delivered,none,False,none
evt_fa9a784e3b26,delivered,none,False,none
evt_a511731c0c9a,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_221eefe20824,delivered,none,False,none
evt_d12fea6c185a,expired,payload_too_large,False,reduce_payload_size
evt_f8b0b763e84a,expired,payload_too_large,False,reduce_payload_size
evt_729ac088379e,delivered,none,False,none
evt_51c15f3f61a0,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_70fd6129a017,expired,payload_too_large,False,reduce_payload_size
evt_ac718cc42124,delivered,none,False,none
evt_11d162e3911d,expired,payload_too_large,False,reduce_payload_size
evt_0cbd63f167db,expired,payload_too_large,False,reduce_payload_size
evt_7293223fb707,expired,payload_too_large,False,reduce_payload_size
evt_f5d7e36f5be3,delivered,none,False,none
evt_65d63f08acd3,delivered,none,False,none
evt_45e7b0c5bdb2,delivered,none,False,none
evt_18f7988a43ce,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_9d8fcb7229a9,delivered,none,False,none
evt_ba1494ad3078,expired,payload_too_large,False,reduce_payload_size
evt_96126e12f92f,delivered,none,False,none
evt_7de948716a5a,expired,timeout,True,investigate
evt_2691878172d7,delivered,none,False,none
evt_490214239cc7,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_46321ada0313,expired,payload_too_large,False,reduce_payload_size
evt_addbdaa26fc2,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_eb9fa114c7a5,delivered,none,False,none
evt_d44798a13b63,expired,payload_too_large,False,reduce_payload_size
evt_1679f69a2e8b,expired,payload_too_large,False,reduce_payload_size
evt_4f4425f448cd,expired,customer_endpoint_down,True,wait_and_retry
evt_3863e2619fab,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_46c2bbf329f6,expired,payload_too_large,False,reduce_payload_size
evt_fc8e27f8178b,expired,malformed_response,True,investigate
evt_eafb04a39d76,expired,payload_too_large,False,reduce_payload_size
evt_329367b176b4,expired,payload_too_large,False,reduce_payload_size
evt_baab14b91fb9,expired,payload_too_large,False,reduce_payload_size
evt_a1dd2e8916bb,delivered,none,False,none
evt_50d7fb512baf,expired,payload_too_large,False,reduce_payload_size
evt_417021cf752a,delivered,none,False,none
evt_7c0f48e0db08,expired,payload_too_large,False,reduce_payload_size
evt_86ddf8bc3935,delivered,none,False,none
evt_cbee6e2195ed,delivered,none,False,none
evt_4b90770575af,expired,payload_too_large,False,reduce_payload_size
evt_653ace29ed5a,delivered,none,False,none
evt_3c85bf9c3fed,recovered,none,False,none
evt_b6fc1b7d7209,recovered,none,False,none
evt_5dc79d8b913a,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_b5d692122802,expired,payload_too_large,False,reduce_payload_size
evt_85164d76ed0f,delivered,none,False,none
evt_ce125b0e96a1,delivered,none,False,none
evt_7df5143f99fe,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_8f6ac9da96c8,expired,payload_too_large,False,reduce_payload_size
evt_334a83d839da,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_07be6ab581ee,delivered,none,False,none
evt_e0bd9ed13c31,expired,payload_too_large,False,reduce_payload_size
evt_2f05a254f05b,delivered,none,False,none
evt_fbeed03be290,expired,rate_limited,True,apply_exponential_backoff
evt_77d3e461a54c,expired,payload_too_large,False,reduce_payload_size
evt_9ee71ad819c6,delivered,none,False,none
evt_0f14f7d3fe3f,delivered,none,False,none
evt_c9f476d90eab,delivered,none,False,none
evt_9580901aa746,delivered,none,False,none
evt_5d42d0885264,expired,replay_without_fix,False,investigate
evt_5b1a9e683ef9,expired,payload_too_large,False,reduce_payload_size
evt_a4b8da1430d4,delivered,none,False,none
evt_57720f5659f6,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_f6d0bb1291f1,expired,rate_limited,True,apply_exponential_backoff
evt_eda1ade8f1c8,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_eb03d6ef3f71,expired,payload_too_large,False,reduce_payload_size
evt_643b8d18075d,delivered,none,False,none
evt_f4af45ef3968,expired,payload_too_large,False,reduce_payload_size
evt_1606183d7699,expired,payload_too_large,False,reduce_payload_size
evt_55b6f016098f,delivered,none,False,none
evt_307b68e24646,expired,payload_too_large,False,reduce_payload_size
evt_eb97db895d33,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_17efbc2b1380,delivered,none,False,none
evt_403030511dfe,expired,payload_too_large,False,reduce_payload_size
evt_92e0751550bd,expired,payload_too_large,False,reduce_payload_size
evt_35cf36582131,delivered,none,False,none
evt_1a9962c66f46,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_d0474c6996a7,delivered,none,False,none
evt_26bcaa4537a3,expired,payload_too_large,False,reduce_payload_size
evt_860960e19730,delivered,none,False,none
evt_403a4c6231a1,expired,payload_too_large,False,reduce_payload_size
evt_4e6b16c6eece,expired,payload_too_large,False,reduce_payload_size
evt_8fe4b75f7073,duplicate,duplicate_event,False,fix_retry_logic
evt_a2558bc2e743,delivered,none,False,none
evt_645bd089e01e,delivered,none,False,none
evt_108e8a12975e,expired,timeout,True,investigate
evt_9f6c1426771c,delivered,none,False,none
evt_9030ecad5f02,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_f0de473d29d2,delivered,none,False,none
evt_85b37e2897e9,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_1a092fc1b38a,delivered,none,False,none
evt_f2d1483e8ca2,delivered,none,False,none
evt_d3ee16bf2610,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_add2a83ca866,delivered,none,False,none
evt_772f5f507858,expired,payload_too_large,False,reduce_payload_size
evt_bb120907eedb,expired,payload_too_large,False,reduce_payload_size
evt_96bf82fc29e3,delivered,none,False,none
evt_9e96dac64d92,delivered,none,False,none
evt_8c7bf9179b84,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_e3448900251f,delivered,none,False,none
evt_77de61c19622,expired,payload_too_large,False,reduce_payload_size
evt_a22993a79460,delivered,none,False,none
evt_fce769b74c63,expired,payload_too_large,False,reduce_payload_size
evt_cdaadbdfb646,expired,payload_too_large,False,reduce_payload_size
evt_aabdd9000c06,expired,payload_too_large,False,reduce_payload_size
evt_f3e42142f37b,expired,payload_too_large,False,reduce_payload_size
evt_368feac47905,delivered,none,False,none
evt_e85a9da9055b,delivered,none,False,none
evt_629b12a1d54a,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_b34f85168359,delivered,none,False,none
evt_f5bce142574e,delivered,none,False,none
evt_dc097d35125a,delivered,none,False,none
evt_577eb5789225,delivered,none,False,none
evt_21427a77b6ec,delivered,none,False,none
evt_dab21a7188db,delivered,none,False,none
evt_82d8dd6c1cfd,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_093e04fee7f9,expired,payload_too_large,False,reduce_payload_size
evt_a369df63f7ec,expired,payload_too_large,False,reduce_payload_size
evt_e2dbb70da2d2,expired,payload_too_large,False,reduce_payload_size
evt_2f7a63daa8f1,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_65af42bc581d,delivered,none,False,none
evt_a8f522411856,expired,payload_too_large,False,reduce_payload_size
evt_83945e1e017a,delivered,none,False,none
evt_943a86ec9e3a,delivered,none,False,none
evt_8109a120e1f3,expired,payload_too_large,False,reduce_payload_size
evt_38dd94cbb8ee,delivered,none,False,none
evt_fce3bef3e233,delivered,none,False,none
evt_969e6a179c24,delivered,none,False,none
evt_bf060be97600,delivered,none,False,none
evt_21e448f83d88,delivered,none,False,none
evt_0a00be91018f,delivered,none,False,none
evt_cc67ecb848de,delivered,none,False,none
evt_4f0533eed0ca,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_503ad294ef4e,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_c0aa7f657cb2,delivered,none,False,none
evt_5d679f648743,expired,payload_too_large,False,reduce_payload_size
evt_61299b567868,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_338530f4c576,expired,payload_too_large,False,reduce_payload_size
evt_7f2227a2dd68,delivered,none,False,none
evt_23ba2549aa34,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_f19060a536b9,delivered,none,False,none
evt_4d54caab4018,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_811f4e225246,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_7d054fbaa60d,delivered,none,False,none
evt_0f81202f0b1b,delivered,none,False,none
evt_8752c1602839,expired,payload_too_large,False,reduce_payload_size
evt_3df134bb02d6,expired,payload_too_large,False,reduce_payload_size
evt_f931ae423004,expired,payload_too_large,False,reduce_payload_size
evt_01e895d93689,expired,payload_too_large,False,reduce_payload_size
evt_ef7a55bca284,expired,payload_too_large,False,reduce_payload_size
evt_b880b9b8e723,delivered,none,False,none
evt_c27b634c8e93,expired,payload_too_large,False,reduce_payload_size
evt_e80f422e2edd,expired,payload_too_large,False,reduce_payload_size
evt_62dc64df50f3,expired,payload_too_large,False,reduce_payload_size
evt_f392e4bbddb4,delivered,none,False,none
evt_1d647bf59c25,expired,payload_too_large,False,reduce_payload_size
evt_ec15160f769d,delivered,none,False,none
evt_b3d1254ab35c,delivered,none,False,none
evt_602cd7f62560,expired,payload_too_large,False,reduce_payload_size
evt_ec6f6d9391e7,delivered,none,False,none
evt_ce2726e88a07,delivered,none,False,none
evt_a995ed21173f,expired,payload_too_large,False,reduce_payload_size
evt_55312d9794ba,expired,payload_too_large,False,reduce_payload_size
evt_9fe1f7093794,delivered,none,False,none
evt_d7188f978707,expired,payload_too_large,False,reduce_payload_size
evt_aefcf710d1c1,expired,payload_too_large,False,reduce_payload_size
evt_19c79ce2ad2b,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_dd072f15e3dd,expired,payload_too_large,False,reduce_payload_size
evt_dd3285f936e2,expired,payload_too_large,False,reduce_payload_size
evt_77383178a28d,expired,payload_too_large,False,reduce_payload_size
evt_d5183f7767c7,expired,payload_too_large,False,reduce_payload_size
evt_c6398341d89f,delivered,none,False,none
evt_4e33fbe3d2ea,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_d643764d9c2d,expired,replay_without_fix,False,investigate
evt_775019326914,expired,payload_too_large,False,reduce_payload_size
evt_45f6d36b31bb,delivered,none,False,none
evt_9bbbb5491c7c,expired,payload_too_large,False,reduce_payload_size
evt_d10a69837699,expired,payload_too_large,False,reduce_payload_size
evt_67479a99a3ce,expired,payload_too_large,False,reduce_payload_size
evt_ffa87d7d9749,delivered,none,False,none
evt_46fdecbe968c,delivered,none,False,none
evt_f17b1e65ee61,expired,replay_without_fix,False,investigate
evt_3a4965904705,duplicate,duplicate_event,False,fix_retry_logic
evt_4ad753133e61,expired,payload_too_large,False,reduce_payload_size
evt_776844fee83a,delivered,none,False,none
evt_490432da2e5b,expired,replay_without_fix,False,investigate
evt_5ee5af12e149,expired,payload_too_large,False,reduce_payload_size
evt_1cb93036c0c2,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_196bc429c340,delivered,none,False,none
evt_7e33aaab9854,delivered,none,False,none
evt_e397c6d62dc4,delivered,none,False,none
evt_eb047def90f3,expired,payload_too_large,False,reduce_payload_size
evt_b92b0ce0edc6,delivered,none,False,none
evt_a18a936fd9f8,delivered,none,False,none
evt_f1b851fa7ab2,delivered,none,False,none
evt_6539fa31b116,expired,payload_too_large,False,reduce_payload_size
evt_82ac05c7275b,expired,payload_too_large,False,reduce_payload_size
evt_5f765025b626,expired,payload_too_large,False,reduce_payload_size
evt_4917bb377a84,duplicate,duplicate_event,False,fix_retry_logic
evt_9b67e1475dea,expired,payload_too_large,False,reduce_payload_size
evt_261a7ced06da,delivered,none,False,none
evt_c94b613b4379,delivered,none,False,none
evt_7beb8dfc127a,delivered,none,False,none
evt_7f34b8d3e882,delivered,none,False,none
evt_f8ecdf18192d,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_f8f3c85c307f,delivered,none,False,none
evt_6206c5dfd206,delivered,none,False,none
evt_f5d285619090,expired,payload_too_large,False,reduce_payload_size
evt_9715eac842e1,duplicate,duplicate_event,False,fix_retry_logic
evt_594663c43f06,expired,payload_too_large,False,reduce_payload_size
evt_4c37b9884225,delivered,none,False,none
evt_2963eeba79c7,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_2193dfb2d215,delivered,none,False,none
evt_efd2c5d7702f,delivered,none,False,none
evt_d9d82c581e75,delivered,none,False,none
evt_d4c8dc8f420c,delivered,none,False,none
evt_790481eb7ab4,expired,payload_too_large,False,reduce_payload_size
evt_514088ce7e76,delivered,none,False,none
evt_077639d8dc67,delivered,none,False,none
evt_d06a9cc0ddd7,expired,payload_too_large,False,reduce_payload_size
evt_97b44dbc83c0,delivered,none,False,none
evt_c58c8bb0f82e,delivered,none,False,none
evt_5ff57b9aa6e1,delivered,none,False,none
evt_fb9ecaa54b1b,delivered,none,False,none
evt_157bbb5c5250,delivered,none,False,none
evt_61a73c616a03,expired,payload_too_large,False,reduce_payload_size
evt_8a6b69c7d3a5,delivered,none,False,none
evt_241652f85c82,expired,payload_too_large,False,reduce_payload_size
evt_f8433d9414bb,delivered,none,False,none
evt_1ef740852970,expired,payload_too_large,False,reduce_payload_size
evt_023207301a86,expired,invalid_signature,True,verify_signature_config
evt_f652b01ae32d,delivered,none,False,none
evt_acc2eb241d59,expired,payload_too_large,False,reduce_payload_size
evt_86201922b97b,delivered,none,False,none
evt_da86a34d00eb,expired,payload_too_large,False,reduce_payload_size
evt_d30d88d7afe6,expired,payload_too_large,False,reduce_payload_size
evt_3ca6d686deb8,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_ff8a8cd20841,delivered,none,False,none
evt_152355c44f64,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_d19130b103be,delivered,none,False,none
evt_8423bd7b3487,delivered,none,False,none
evt_326c29281b43,delivered,none,False,none
evt_084af76c80d2,expired,payload_too_large,False,reduce_payload_size
evt_41431f36d9ca,expired,payload_too_large,False,reduce_payload_size
evt_f4dcda5be0f8,delivered,none,False,none
evt_2ce8359f5cee,expired,payload_too_large,False,reduce_payload_size
evt_f8a2cef2a18c,delivered,none,False,none
evt_3fd9aa179dc7,expired,payload_too_large,False,reduce_payload_size
evt_59f012643c45,delivered,none,False,none
evt_c781988d4678,delivered,none,False,none
evt_7ada1d491bd7,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_4be7fbea8ae8,delivered,none,False,none
evt_d11a8ffd998e,expired,rate_limited,True,apply_exponential_backoff
evt_fca7b3fe904c,expired,payload_too_large,False,reduce_payload_size
evt_74e6cecb0fad,delivered,none,False,none
evt_222f86181bf3,delivered,none,False,none
evt_cbd196d9ca96,expired,payload_too_large,False,reduce_payload_size
evt_8d66dc7afe7f,expired,payload_too_large,False,reduce_payload_size
evt_cbedf8837f7f,expired,payload_too_large,False,reduce_payload_size
evt_ef10a7fbff90,delivered,none,False,none
evt_aa0e8346209a,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_80266a06cafa,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_0f4515830a18,expired,payload_too_large,False,reduce_payload_size
evt_728f5a0489b4,delivered,none,False,none
evt_1601774d95e7,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_abc6dfd88402,expired,payload_too_large,False,reduce_payload_size
evt_e45ef7d7cc03,expired,payload_too_large,False,reduce_payload_size
evt_d385c20accc0,delivered,none,False,none
evt_3411ada8b857,delivered,none,False,none
evt_0f9baae963fc,expired,payload_too_large,False,reduce_payload_size
evt_cda477089422,expired,payload_too_large,False,reduce_payload_size
evt_025d125f44e7,expired,payload_too_large,False,reduce_payload_size
evt_7bc69c7b5aa4,delivered,none,False,none
evt_284ed24a446e,expired,payload_too_large,False,reduce_payload_size
evt_76b3861d2e5d,delivered,none,False,none
evt_46182745c329,delivered,none,False,none
evt_ac1b2127a6da,delivered,none,False,none
evt_b092a1629d0c,expired,payload_too_large,False,reduce_payload_size
evt_9737c6270385,delivered,none,False,none
evt_2fd45ac37b7c,expired,payload_too_large,False,reduce_payload_size
evt_22be8f0e495a,delivered,none,False,none
evt_9704b5655354,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_fd55aa1098bd,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_7e0f931f94d7,expired,payload_too_large,False,reduce_payload_size
evt_015ef9b234f7,delivered,none,False,none
evt_d063149aca25,delivered,none,False,none
evt_b38969307cca,delivered,none,False,none
evt_2ad948489571,delivered,none,False,none
evt_ef6974eb6189,delivered,none,False,none
evt_c2f3ddc5ad4d,delivered,none,False,none
evt_8df5825fd84c,expired,payload_too_large,False,reduce_payload_size
evt_c313d945c344,expired,payload_too_large,False,reduce_payload_size
evt_918150078811,delivered,none,False,none
